,sloc_physical_mod_list,sloc_logical_mod_list,param_mod_list
857,99,81,10
858,100,72,20
859,41,24,5
860,27,23,1
861,20,14,5
862,88,64,8
863,48,32,0
864,215,170,17
865,86,76,2
866,141,88,24
867,70,59,0
868,23,19,0
869,82,46,13
870,119,111,0
871,32,27,2
872,54,39,0
873,129,88,0
874,67,54,0
875,398,205,0
876,69,30,46
877,325,189,5
878,136,88,4
879,79,59,2
880,30,22,0
881,191,116,4
882,79,59,2
883,67,59,1
884,2295,1191,220
885,57,59,0
886,32,35,2
887,36,37,2
888,74,69,1
889,120,106,5
890,177,82,5
891,264,150,6
892,56,43,1
893,57,44,1
894,120,91,11
895,209,99,5
896,124,77,7
897,1,0,0
898,59,39,0
899,47,37,3
900,47,41,1
901,42,35,0
902,47,40,6
903,164,117,0
904,44,37,0
905,73,67,4
906,64,33,5
907,96,48,15
908,106,57,1
909,293,243,4
910,104,56,2
911,80,41,1
912,40,16,0
913,22,15,0
914,84,56,4
915,128,63,5
916,27,16,0
917,44,25,5
918,45,33,0
919,46,37,7
920,469,326,7
921,154,90,4
922,242,154,5
923,195,119,5
924,228,113,11
925,193,117,5
926,195,119,5
927,193,117,5
928,114,81,5
929,9,5,0
930,234,142,5
931,283,169,17
932,33,22,0
933,28,20,0
934,114,81,5
935,203,79,4
936,78,54,0
937,26,16,7
938,20,19,0
939,60,46,0
940,56,48,0
941,46,39,0
942,44,33,2
943,84,59,6
944,148,102,1
945,64,39,3
946,77,72,0
947,46,33,0
948,99,98,0
949,60,46,0
950,25,17,4
951,24,13,0
952,259,245,5
953,75,49,9
954,37,27,10
955,132,84,23
956,14,10,2
957,57,37,3
958,19,14,3
959,51,49,0
960,32,22,0
961,37,24,0
962,81,55,0
963,79,49,0
964,35,17,3
965,31,17,3
966,70,40,1
967,9,5,0
968,22,18,0
969,512,583,12
970,43,28,0
971,39,29,0
972,18,15,0
973,396,239,25
974,64,49,1
975,396,239,25
976,41,34,0
977,84,0,0
978,30,15,0
979,79,47,5
980,183,118,11
981,52,29,0
982,360,256,22
983,34,25,0
984,158,86,0
985,225,133,0
986,261,222,19
